researcher_id,profile_id,name,institution,department,current_title,academic_title,gender,birth_year,career_stage,career_tier,primary_discipline,secondary_disciplines,discipline_id,h_index,total_citations,num_papers_claimed,num_papers_verified,num_monographs_claimed,first_author_count,first_author_ratio,corresponding_author_ratio,solo_author_ratio,coauthor_count,coauthor_concentration,median_coauthor_per_paper,cross_discipline_count,avg_papers_per_year,median_papers_per_year,median_citations_per_paper,self_citation_rate,highly_cited_paper_count,retraction_count,expression_of_concern_count,suspicious_fast_track_count,median_review_days,min_review_days,max_review_days,funding_hit_rate,total_grants,total_grant_amount,max_journal_tier,avg_hybrid_score,data_quality_mask,feat_authorship_misconduct,feat_citation_manipulation,feat_data_fabrication,feat_data_falsification,feat_data_trading,feat_duplicate_publication,feat_ethical_violation,feat_fake_peer_review,feat_fund_misconduct,feat_ghostwriting,feat_image_manipulation,feat_paper_mill,feat_plagiarism,feat_self_plagiarism,feat_supervisor_abuse,feat_systemic_fraud,feat_translation_plagiarism,investigation_status,is_confirmed_misconduct,investigation_date,update_date,notes,data_path
CASE_001,CASE_001,CASE_001,University of Sheffield,"Information, Journalism and Communication",Senior Lecturer,,,,,normal,,,COMM_CN_2020_2024,14.0,879.0,,88,0,,0.3977272727272727,,,13,0.5,,1,17.6,,55.8,0.08,,0,0,,180.0,,,0.2,,,A,55.8,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,2026-04-19,2026-05-01 08:09:53,,
CASE_046,CASE_046,CASE_046,多机构（125家中国机构）,,,,,,,normal,,,MED_CN_2020_2024,0.0,0.0,107,107,,,0.4672897196261682,,,21,0.5,,1,21.4,,,0.15,,107,0,,20.0,,,0.05,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,论文工厂模式典型案例，基于Tumor Biology 107篇撤稿论文；核心特征: 虚假同行评审(100%)、作者身份不端(100%)、论文买卖(17.8%)；串谋模式: 第三方中介-作者,
CASE_038,CASE_038,CASE_038,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,NSFC通报典型案例，共1篇涉事论文；买卖实验数据,
CASE_002,CASE_002,CASE_002,中南大学湘雅二医院（原）,急诊外科/普外科,原副主任医师,,,,,normal,,,MED_CN_2020_2024,,,,,,,0.4,,,3,0.85,,1,3.0,,,0.15,,3,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,confirmed_misconduct,1,,2026-05-01 08:09:53,2024年10月一审获刑17年；数据造假、图片重复、导师滥用已确认,
CASE_003,CASE_003,CASE_003,山东建筑大学,,,,,,,normal,,,COMM_CN_2020_2024,0.0,0.0,,,,,0.0,,,0,0.5,,1,0.0,,,0.08,,0,0,,180.0,,,0.2,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""missing"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_004,CASE_004,CASE_004,福建师范大学,,,,,,,normal,,,COMM_CN_2020_2024,1.0,35.0,,,,,0.6,,,1,0.5,,1,1.0,,,0.08,,0,0,,180.0,,,0.2,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,初步调查报告：风险评级中，但未发现学术不端；晋升速度异常有制度通道解释; 调查深度较浅（2份报告），结论仅供参考,
CASE_039,CASE_039,CASE_039,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,NSFC通报典型案例，共1篇涉事论文；抄袭剽窃+伪造篡改,
CASE_034,CASE_034,CASE_034,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共1篇涉事论文；主要不端类型: 剽窃图片+提供不实陈述+事后编造记录,
CASE_032,CASE_032,CASE_032,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.68,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共1篇涉事论文；主要不端类型: 图片使用混乱+伪造篡改（10年系统性造假）,
CASE_031,CASE_031,CASE_031,天津大学/厦门大学,,,,,,,normal,,,CS_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共1篇涉事论文；主要不端类型: 代写论文+一稿多卖,
CASE_005,CASE_005,CASE_005,安徽艺术学院,传媒学院播音与主持艺术专业,主任播音员、硕士、教务处（招生办）副处长,曾任传媒学院副院长、播音与主持艺术教研室主任,男,,,normal,,,COMM_CN_2020_2024,0.0,0.0,,,0,,0.0,,,0,0.5,,1,0.0,,64.5,0.08,,0,0,,180.0,,,0.2,,,C,64.5,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""missing"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,2026-04-15,2026-05-01 08:09:53,,
CASE_030,CASE_030,CASE_030,对外经济贸易大学,,,,,,,normal,,,COMM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共1篇涉事论文；主要不端类型: 多源拼接式剽窃,
CASE_025,CASE_025,CASE_025,天津大学,,,,,,,normal,,,CHEM_CN_2020_2024,0.0,0.0,17,17,,,0.47058823529411764,,,3,0.88,,1,3.4,,,0.15,,17,0,,20.0,,,0.05,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共17篇涉事论文；主要不端类型: 数据造假+图片重复+署名不实+为亲属批量生产论文,
CASE_045,CASE_045,CASE_045,多机构（125家中国机构）,,,,,,,normal,,,MED_CN_2020_2024,0.0,0.0,107,107,,,0.4672897196261682,,,21,0.5,,1,21.4,,,0.15,,107,0,,20.0,,,0.05,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,批量撤稿模式原型，基于Tumor Biology 107篇撤稿论文合并；串谋模式: 第三方中介-作者；处罚: 科技部联合处理；虚假同行评审; 虚假同行评审+内容造假; 论文买卖+虚假同行评审,
CASE_006,CASE_006,CASE_006,上海体育学院,艺术学院,副教授,播音与主持艺术专业负责人、硕士研究生导师,男,1972,,normal,,,COMM_CN_2020_2024,1.0,20.0,5,12,4,9,0.6666666666666666,,,3,0.5,,1,2.4,,64.0,0.08,,0,0,,180.0,,,0.2,,,C,64.0,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,2026-04-15,2026-05-01 08:09:53,,
CASE_007,CASE_007,CASE_007,南京师范大学,,,,,,,normal,,,COMM_CN_2020_2024,4.0,80.0,,,,,0.8333333333333334,,,6,0.5,,1,6.0,,,0.08,,0,0,,180.0,,,0.2,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_008,CASE_008,CASE_008,复旦大学,,,,,,,normal,,,COMM_CN_2020_2024,9.0,180.0,,,,,0.6666666666666666,,,12,0.5,,1,12.0,,,0.08,,0,0,,180.0,,,0.2,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_009,CASE_009,CASE_009,南京师范大学,,,,,,,normal,,,COMM_CN_2020_2024,0.0,0.0,,,,,0.0,,,0,0.5,,1,0.0,,,0.08,,0,0,,180.0,,,0.2,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""missing"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（2份报告），结论仅供参考,
CASE_035,CASE_035,CASE_035,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共1篇涉事论文；主要不端类型: 买卖论文+未经同意使用他人署名+擅自标注他人基金项目,
CASE_040,CASE_040,CASE_040,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,NSFC通报典型案例，共1篇涉事论文；图片使用混乱+未经同意使用他人署名+擅自标注基金项目,
CASE_010,CASE_010,CASE_010,中国科学院上海有机化学研究所,,,,,,,leading,,,CHEM_CN_2020_2024,35.0,1225.0,,,,,0.25,,,21,0.55,,1,28.0,,,0.12,,0,0,,90.0,,,0.35,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_011,CASE_011,CASE_011,中国社会科学院经济研究所,宏观经济学研究室,研究员,博士生导师,男,1977,,normal,,,COMM_CN_2020_2024,7.0,245.0,70,70,0,,0.4,,,6,0.5,,1,6.0,,65.1,0.08,,0,0,,180.0,,,0.2,,,C,65.1,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,2026-04-15,2026-05-01 08:09:53,,
CASE_012,CASE_012,CASE_012,浙江传媒学院,,,,,,,normal,,,COMM_CN_2020_2024,2.0,40.0,,,,,0.6666666666666666,,,4,0.5,,1,3.0,,,0.08,,0,0,,180.0,,,0.2,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（3份报告），结论仅供参考,
CASE_041,CASE_041,CASE_041,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,NSFC通报典型案例，共1篇涉事论文；买卖实验研究数据,
CASE_013,CASE_013,CASE_013,上海交通大学,,,,,,,top,,,CS_CN_2020_2024,39.0,5800.0,,,,,0.1375,,,12,0.5,,1,16.0,,,0.08,,0,0,,90.0,,,0.25,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_042,CASE_042,CASE_042,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,NSFC通报典型案例，共1篇涉事论文；抄袭他人实验图片,
CASE_014,CASE_014,CASE_014,重庆邮电大学,,,,,,,normal,,,CS_CN_2020_2024,15.0,300.0,,,,,0.4,,,20,0.5,,1,20.0,,,0.08,,0,0,,90.0,,,0.25,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_024,CASE_024,CASE_024,北京电影学院,,,,,,,normal,,,COMM_CN_2020_2024,,,2,2,,,1.0,,,0,0.5,,1,0.4,,,0.15,,2,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共2篇涉事论文；主要不端类型: 抄袭剽窃; 抄袭剽窃+发表渠道违规,
CASE_015,CASE_015,CASE_015,复旦大学,高分子科学系,研究员,,,,,normal,,,CHEM_CN_2020_2024,1.0,35.0,,,,,1.0,,,1,0.58,,1,1.4,,,0.08,,0,0,,90.0,,,0.35,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,suspicious,0,,2026-05-01 08:09:53,履历夸大、署名伦理灰色地带、商业利益边界模糊；风险评级：中高,
CASE_016,CASE_016,CASE_016,安徽艺术学院,传媒学院,教授,传媒学院党总支书记、院长,女,1971,,normal,,,COMM_CN_2020_2024,0.0,0.0,7,7,3,,1.0,,,2,0.5,,1,1.4,,,0.08,,0,0,,180.0,,,0.2,,,C,55.0,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,2026-04-30,2026-05-01 08:09:53,教育背景待核实,
CASE_029,CASE_029,CASE_029,西安交通大学,,,,,,,normal,,,COMM_CN_2020_2024,,20.0,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共1篇涉事论文；主要不端类型: 翻译式抄袭（全文抄袭）,
CASE_017,CASE_017,CASE_017,南京航空航天大学金城学院,,,,,,,normal,,,COMM_CN_2020_2024,1.0,20.0,,,,,0.3333333333333333,,,0,0.5,,1,0.6,,,0.08,,0,0,,180.0,,,0.2,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,,
CASE_018,CASE_018,CASE_018,南京大学,,,,,,,top,,,CS_CN_2020_2024,45.0,3100.0,,,,,0.25,,,27,0.5,,1,36.0,,,0.12,,0,0,,90.0,,,0.25,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_019,CASE_019,CASE_019,中国科学技术大学,,,,,,,top,,,CHEM_CN_2020_2024,104.0,35000.0,,,,,0.24848484848484848,,,49,0.5,,1,66.0,,,0.12,,0,0,,90.0,,,0.35,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_020,CASE_020,CASE_020,中南大学湘雅医院,,,,,,,normal,,,MED_CN_2020_2024,20.0,1924.0,,,,,0.10833333333333334,,,18,0.5,,1,24.0,,,0.12,,0,0,,120.0,,,0.3,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,normal,0,,2026-05-01 08:09:53,师德师风高风险（遗书事件、精神压迫）已确认；学术履历夸大、论文署名规范性中风险；数据造假、抄袭、一稿多投未确认（PubPeer零质疑，PDF数据结构审查无信号）,
CASE_027,CASE_027,CASE_027,浙江大学,,,,,,,normal,,,CHEM_CN_2020_2024,1.0,0.0,8,8,,,1.0,,,1,0.7,,1,1.6,,,0.15,,8,0,,45.0,,,0.05,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共8篇涉事论文；主要不端类型: 一稿两投+数据张冠李戴; 剽窃博导数据+擅署院士名字; 数据造假,
CASE_043,CASE_043,CASE_043,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,1,1,,,1.0,,,0,0.5,,1,0.2,,,0.15,,1,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,NSFC通报典型案例，共1篇涉事论文；买卖实验研究数据+未经同意使用他人署名,
CASE_021,CASE_021,CASE_021,南京师范大学,文学院,教授、博士生导师,,,,,normal,,,COMM_CN_2020_2024,10.0,200.0,70,73,4,,0.6428571428571429,,,14,0.5,,1,14.0,,,0.08,,0,0,,180.0,,,0.2,,,C,42.0,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,suspicious,0,,2026-05-01 08:09:53,同单位对照反差、非学术因素对资源分配的影响,
CASE_022,CASE_022,CASE_022,南京大学,,,,,,,top,,,CHEM_CN_2020_2024,52.0,17032.0,,,,,0.04132231404958678,,,18,0.5,,1,24.2,,,0.12,,0,0,,90.0,,,0.35,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,,2026-05-01 08:09:53,调查深度较浅（1份报告），结论仅供参考,
CASE_028,CASE_028,CASE_028,井冈山大学,,,,,,,normal,,,CHEM_CN_2020_2024,0.0,0.0,4,4,,,0.5,,,14,0.9,,1,14.0,,,0.15,,70,0,,20.0,,,0.05,,,,,"{""h_index"": ""measured"", ""total_citations"": ""measured"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,confirmed_misconduct,1,,2026-05-01 08:09:53,外部典型案例，共4篇涉事论文；主要不端类型: 代写+晶体数据造假+一稿多投; 某教授代写+晶体数据造假,
CASE_037,CASE_037,CASE_037,不详,,,,,,,normal,,,CHEM_CN_2020_2024,,,2,2,,,1.0,,,0,0.72,,1,0.4,,,0.15,,2,0,,45.0,,,0.05,,,,,"{""h_index"": ""missing"", ""total_citations"": ""missing"", ""avg_papers_per_year"": ""measured"", ""coauthor_concentration"": ""estimated"", ""median_review_days"": ""estimated"", ""cross_discipline_count"": ""estimated""}",1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,confirmed_misconduct,1,,2026-05-01 08:09:53,NSFC通报典型案例，共2篇涉事论文；抄袭剽窃+伪造篡改+擅自标注基金项目; 抄袭剽窃+伪造篡改+未经同意使用他人署名+擅自标注基金项目,
